destination_province,Gender,Age,Age_amount,depature_province,number,together,dataid
Hebei,Male,29,20-30,Ningxia,12,over 10 people,100
Neimenggu,Male,35,31-40,Yunnan,8,5-10 people,93
Anhui,Male,27,20-30,Heilongjiang,7,5-10 people,86
Yunnan,Female,41,41-60,Shanghai,7,5-10 people,64
Yunnan,Female,36,31-40,Shanghai,6,5-10 people,63
Xizang,Male,35,31-40,Sichuan,5,5-10 people,77
Hunan,Male,40,31-40,Sichuan,4,4 people,96
Jiangxi,Male,36,31-40,Sichuan,4,4 people,95
Zhejiang,Male,58,41-60,Ningxia,4,4 people,52
Zhejiang,Male,18,under 20,Sichuan,4,4 people,53
